Fecha,Dia,Visitas,Paginas,Solicitudes,Trafico
9/17/2021,17-Sep-21,94,140,456,279.24
9/18/2021,18-Sep-21,63,114,545,399.19
9/19/2021,19-Sep-21,87,135,562,414.33
9/20/2021,20-Sep-21,117,167,733,299.96
9/21/2021,21-Sep-21,116,166,807,124.08
9/22/2021,22-Sep-21,107,151,607,318.22
9/23/2021,23-Sep-21,89,128,655,286.21
9/24/2021,24-Sep-21,98,126,500,149.61
9/25/2021,25-Sep-21,67,87,310,108.96
9/26/2021,26-Sep-21,106,138,621,305.15
9/27/2021,27-Sep-21,173,227,1007,252.67
9/28/2021,28-Sep-21,145,216,849,241.67
9/29/2021,29-Sep-21,117,155,726,366
9/30/2021,30-Sep-21,130,198,871,235.07
10/1/2021,1-Oct-21,98,153,498,181.82
10/2/2021,2-Oct-21,72,126,401,90.08
10/3/2021,3-Oct-21,95,146,486,102.68
10/4/2021,4-Oct-21,117,145,624,233.29
10/5/2021,5-Oct-21,144,216,805,413.65
10/6/2021,6-Oct-21,184,275,867,276.45
10/7/2021,7-Oct-21,168,236,682,312.97
10/8/2021,8-Oct-21,98,125,368,59.31
10/9/2021,9-Oct-21,78,109,382,118.48
10/10/2021,10-Oct-21,73,110,338,128.25
10/11/2021,11-Oct-21,116,159,692,270.97
10/12/2021,12-Oct-21,99,132,693,357.45
10/13/2021,13-Oct-21,103,136,628,182.68
10/14/2021,14-Oct-21,136,190,725,151.71
10/15/2021,15-Oct-21,91,126,440,88.68
10/16/2021,16-Oct-21,57,87,313,69.43
10/17/2021,17-Oct-21,93,132,460,83.33
10/18/2021,18-Oct-21,115,143,641,205.75
10/19/2021,19-Oct-21,110,145,716,249.5
10/20/2021,20-Oct-21,97,140,561,391
10/21/2021,21-Oct-21,116,162,694,179.47
10/22/2021,22-Oct-21,107,147,606,235.07
10/23/2021,23-Oct-21,89,137,514,110.53
10/24/2021,24-Oct-21,104,148,493,161
10/25/2021,25-Oct-21,192,248,884,266.81
10/26/2021,26-Oct-21,140,178,755,255.46
10/27/2021,27-Oct-21,131,195,768,320.27
10/28/2021,28-Oct-21,117,164,621,325.21
10/29/2021,29-Oct-21,116,174,642,296.92
10/30/2021,30-Oct-21,156,225,714,90.41
10/31/2021,31-Oct-21,160,238,700,174.25
11/1/2021,1-Nov-21,161,244,1116,165.94
11/2/2021,2-Nov-21,160,235,1092,325.92
11/3/2021,3-Nov-21,132,200,716,232.64
11/4/2021,4-Nov-21,136,183,855,311.81
11/5/2021,5-Nov-21,224,324,1267,162.92
11/6/2021,6-Nov-21,135,201,607,180.28
11/7/2021,7-Nov-21,88,133,418,258.59
11/8/2021,8-Nov-21,141,224,749,179.3
11/9/2021,9-Nov-21,175,261,1085,243.15
11/10/2021,10-Nov-21,137,196,679,323.66
11/11/2021,11-Nov-21,174,242,850,309.56
11/12/2021,12-Nov-21,142,251,913,288.6
11/13/2021,13-Nov-21,115,168,430,56.14
11/14/2021,14-Nov-21,111,161,350,122.22
11/15/2021,15-Nov-21,188,280,916,195.72
11/16/2021,16-Nov-21,201,297,1095,172.36
11/17/2021,17-Nov-21,175,250,876,202.66
11/18/2021,18-Nov-21,140,212,788,200.25
11/19/2021,19-Nov-21,77,107,291,115.34
11/20/2021,20-Nov-21,103,137,389,108.69
11/21/2021,21-Nov-21,112,157,442,78.83
11/22/2021,22-Nov-21,155,221,628,162.09
11/23/2021,23-Nov-21,202,340,979,314.59
11/24/2021,24-Nov-21,166,259,833,165.75
11/25/2021,25-Nov-21,115,170,692,275.01
11/26/2021,26-Nov-21,88,111,382,128.83
11/27/2021,27-Nov-21,69,96,294,73.69
11/28/2021,28-Nov-21,81,116,490,106.71
11/29/2021,29-Nov-21,150,216,831,248.53
11/30/2021,30-Nov-21,109,148,737,252.44
12/1/2021,1-Dec-21,112,142,521,134.56
12/2/2021,2-Dec-21,84,115,392,143.79
12/3/2021,3-Dec-21,90,118,444,76.36
12/4/2021,4-Dec-21,61,78,341,65.45
12/5/2021,5-Dec-21,69,95,341,243.71
12/6/2021,6-Dec-21,83,107,347,183.24
12/7/2021,7-Dec-21,92,124,516,80.78
12/8/2021,8-Dec-21,97,126,457,92.94
12/9/2021,9-Dec-21,109,151,559,131.23
12/10/2021,10-Dec-21,118,164,442,381.68
12/11/2021,11-Dec-21,98,139,353,53.31
12/12/2021,12-Dec-21,97,139,382,109.79
12/13/2021,13-Dec-21,95,128,466,138.3
12/14/2021,14-Dec-21,139,183,643,93.5
12/15/2021,15-Dec-21,93,120,355,106.72
12/16/2021,16-Dec-21,89,123,600,269.37
12/17/2021,17-Dec-21,85,106,316,37.75
12/18/2021,18-Dec-21,67,89,260,13.2
12/19/2021,19-Dec-21,99,153,391,27.42
12/20/2021,20-Dec-21,131,204,608,209.51
12/21/2021,21-Dec-21,109,160,523,105.69
12/22/2021,22-Dec-21,85,124,439,93.7
12/23/2021,23-Dec-21,82,96,244,21.7
12/24/2021,24-Dec-21,74,80,180,41.84
12/25/2021,25-Dec-21,74,105,256,59.46
12/26/2021,26-Dec-21,101,132,372,52.83
12/27/2021,27-Dec-21,113,168,646,118.4
12/28/2021,28-Dec-21,141,185,693,116.55
12/29/2021,29-Dec-21,138,180,586,139.13
12/30/2021,30-Dec-21,174,245,916,183.5
12/31/2021,31-Dec-21,113,151,462,52.45
1/1/2022,1-Jan-22,115,167,434,35.64
1/2/2022,2-Jan-22,131,181,464,107.91
1/3/2022,3-Jan-22,183,263,780,122.85
1/4/2022,4-Jan-22,230,345,1092,358.74
1/5/2022,5-Jan-22,248,398,1153,202.77
1/6/2022,6-Jan-22,145,238,1036,196.31
1/7/2022,7-Jan-22,155,231,967,260.08
1/8/2022,8-Jan-22,101,164,527,94.82
1/9/2022,9-Jan-22,160,250,747,143.16
1/10/2022,10-Jan-22,187,294,807,88.96
1/11/2022,11-Jan-22,212,363,947,218.59
1/12/2022,12-Jan-22,271,407,1305,133.01
1/13/2022,13-Jan-22,206,337,915,162.17
1/14/2022,14-Jan-22,203,385,1128,262.5
1/15/2022,15-Jan-22,790,2237,6644,341.32
1/16/2022,16-Jan-22,723,1266,3965,195.99
1/17/2022,17-Jan-22,723,1364,3226,159.33
1/18/2022,18-Jan-22,469,791,2201,354.01
1/19/2022,19-Jan-22,263,386,1171,122.48
1/20/2022,20-Jan-22,172,266,856,91.6
1/21/2022,21-Jan-22,204,323,1059,159.81
1/22/2022,22-Jan-22,122,201,498,392.32
1/23/2022,23-Jan-22,146,238,576,70.63
1/24/2022,24-Jan-22,230,370,930,58.96
1/25/2022,25-Jan-22,297,739,1639,238.07
1/26/2022,26-Jan-22,403,1168,2154,1.57
1/27/2022,27-Jan-22,336,839,1510,236.22
1/28/2022,28-Jan-22,158,406,801,79.63
1/29/2022,29-Jan-22,145,333,640,47.83
1/30/2022,30-Jan-22,176,462,706,46.27
1/31/2022,31-Jan-22,253,591,1113,120.03
2/1/2022,1-Feb-22,198,447,1039,78.5
2/2/2022,2-Feb-22,179,410,852,113.54
2/3/2022,3-Feb-22,153,348,786,107.11
2/4/2022,4-Feb-22,132,291,778,93.05
2/5/2022,5-Feb-22,127,287,598,29.29
2/6/2022,6-Feb-22,118,352,620,27.06
2/7/2022,7-Feb-22,149,344,687,68.69
2/8/2022,8-Feb-22,130,289,749,56.7
2/9/2022,9-Feb-22,137,334,773,78.83
2/10/2022,10-Feb-22,199,489,961,194.37
2/11/2022,11-Feb-22,230,590,1252,110.91
2/12/2022,12-Feb-22,194,483,950,104.69
2/13/2022,13-Feb-22,133,315,512,64.51
2/14/2022,14-Feb-22,134,321,697,155.51
2/15/2022,15-Feb-22,193,421,871,120.56
2/16/2022,16-Feb-22,236,587,1179,66.73
2/17/2022,17-Feb-22,379,955,1910,218.35
2/18/2022,18-Feb-22,255,500,1036,74.11
2/19/2022,19-Feb-22,152,375,863,101.41
2/20/2022,20-Feb-22,142,283,588,190.65
2/21/2022,21-Feb-22,152,299,772,789.62
2/22/2022,22-Feb-22,142,278,702,151.61
2/23/2022,23-Feb-22,95,194,560,419.36
2/24/2022,24-Feb-22,124,248,533,29.41
2/25/2022,25-Feb-22,171,421,1148,59.24
2/26/2022,26-Feb-22,109,225,520,62.62
2/27/2022,27-Feb-22,94,186,385,63.58
2/28/2022,28-Feb-22,109,260,548,72
3/1/2022,1-Mar-22,169,390,811,57.02
3/2/2022,2-Mar-22,156,385,756,113.04
3/3/2022,3-Mar-22,160,353,620,119.76
3/4/2022,4-Mar-22,153,383,727,52.75
3/5/2022,5-Mar-22,86,188,348,50.09
3/6/2022,6-Mar-22,119,273,653,39.49
3/7/2022,7-Mar-22,190,466,972,57.19
3/8/2022,8-Mar-22,165,355,862,100.19
3/9/2022,9-Mar-22,180,398,865,175.7
3/10/2022,10-Mar-22,189,426,829,74.96
3/11/2022,11-Mar-22,150,341,632,87.78
3/12/2022,12-Mar-22,105,234,413,55.6
3/13/2022,13-Mar-22,114,299,564,72.01
3/14/2022,14-Mar-22,191,435,953,75.47
3/15/2022,15-Mar-22,165,352,738,73.99
3/16/2022,16-Mar-22,165,339,660,94.06
3/17/2022,17-Mar-22,230,531,1113,52.22
3/18/2022,18-Mar-22,323,767,1653,125.95
3/19/2022,19-Mar-22,144,299,656,71.63
3/20/2022,20-Mar-22,141,344,688,62.13
3/21/2022,21-Mar-22,166,356,758,82.32
3/22/2022,22-Mar-22,220,525,1127,178.62
3/23/2022,23-Mar-22,221,531,1039,103.91
3/24/2022,24-Mar-22,215,571,1128,84.3
3/25/2022,25-Mar-22,213,525,969,141.88
3/26/2022,26-Mar-22,124,262,532,310.9
3/27/2022,27-Mar-22,136,328,682,39.71
3/28/2022,28-Mar-22,173,363,838,94.39
3/29/2022,29-Mar-22,199,424,826,62.59
3/30/2022,30-Mar-22,168,390,905,121.66
3/31/2022,31-Mar-22,160,387,743,56.79
4/1/2022,1-Apr-22,159,396,704,86.27
4/2/2022,2-Apr-22,112,266,503,25.56
4/3/2022,3-Apr-22,174,417,710,23.92
4/4/2022,4-Apr-22,164,435,823,116.94
4/5/2022,5-Apr-22,176,392,950,259.35
4/6/2022,6-Apr-22,146,411,842,211.65
4/7/2022,7-Apr-22,133,282,803,185.8
4/8/2022,8-Apr-22,149,301,971,262.51
4/9/2022,9-Apr-22,91,209,496,51.59
4/10/2022,10-Apr-22,111,238,493,183.47
4/11/2022,11-Apr-22,156,320,666,168.34
